movieId,title,genres,imdbId,tmdbId,cast,director,tags,content,poster_file,rating_mean,rating_count,bayes
1,Toy Story (1995),Adventure Animation Children Comedy Fantasy,114709,862.0,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger,John Lasseter,pixar animation disney tom hanks computer animation,toy story 1995 adventure animation children comedy fantasy pixar animation disney tom hanks computer animation tom hanks tim allen don rickles jim varney wallace shawn john ratzenberger john lasseter,tt0114709.jpg,3.8142857142857145,70,3.622444585164388
2,Jumanji (1995),Adventure Children Fantasy,113497,8844.0,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth,Joe Johnston,robin williams fantasy time travel animals board game,jumanji 1995 adventure children fantasy robin williams fantasy time travel animals board game robin williams jonathan hyde kirsten dunst bradley pierce bonnie hunt bebe neuwirth joe johnston,tt0113497.jpg,3.630434782608696,184,3.587168234991113
3,Grumpier Old Men (1995),Comedy Romance,113228,15602.0,Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah|Burgess Meredith,Howard Deutch,fishing jack lemmon moldy old sequel,grumpier old men 1995 comedy romance fishing jack lemmon moldy old sequel walter matthau jack lemmon ann margret sophia loren daryl hannah burgess meredith howard deutch,tt0113228.jpg,3.6974085365853657,656,3.666522850384695
4,Waiting to Exhale (1995),Comedy Drama Romance,114885,31357.0,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert,Forest Whitaker,chick flick characters based on novel or book clv divorce,waiting to exhale 1995 comedy drama romance chick flick characters based on novel or book clv divorce whitney houston angela bassett loretta devine lela rochon gregory hines dennis haysbert forest whitaker,tt0114885.jpg,3.378099173553719,242,3.4396726238337214
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin,Charles Shyer,steve martin family pregnancy wedding aging,father of the bride part ii 1995 comedy steve martin family pregnancy wedding aging steve martin diane keaton martin short kimberly williams paisley george newbern kieran culkin charles shyer,tt0113041.jpg,3.752475247524752,101,3.621289186179638
6,Heat (1995),Action Crime Thriller,113277,949.0,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora,Michael Mann,al pacino robert de niro realistic action great acting suspense,heat 1995 action crime thriller al pacino robert de niro realistic action great acting suspense al pacino robert de niro val kilmer jon voight tom sizemore diane venora michael mann,tt0113277.jpg,4.153846153846154,26,3.624585810287223
7,Sabrina (1995),Comedy Romance,114319,11860.0,Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson|Nancy Marchand|John Wood,Sydney Pollack,remake harrison ford romance based on a play chick flick,sabrina 1995 comedy romance remake harrison ford romance based on a play chick flick harrison ford julia ormond greg kinnear angie dickinson nancy marchand john wood sydney pollack,tt0114319.jpg,3.64,25,3.550277953677708
8,Tom and Huck (1995),Adventure Children,112302,45325.0,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane|Amy Wright|Eric Schweig,Peter Hewitt,adapted from:book author:mark twain based on a book disney library system,tom and huck 1995 adventure children adapted from book author mark twain based on a book disney library system jonathan taylor thomas brad renfro rachael leigh cook michael mcshane amy wright eric schweig peter hewitt,tt0112302.jpg,3.612903225806452,155,3.5743549408451205
9,Sudden Death (1995),Action,114576,9091.0,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry|Ross Malinger|Whittni Wright,Peter Hyams,jean-claude van damme peter hyams action can't remember clv,sudden death 1995 action jean claude van damme peter hyams action can t remember clv jean claude van damme powers boothe dorian harewood raymond j barry ross malinger whittni wright peter hyams,tt0114576.jpg,3.865168539325843,178,3.711861956942905
10,GoldenEye (1995),Action Adventure Thriller,113189,710.0,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench,Martin Campbell,james bond 007 bond pierce brosnan espionage,goldeneye 1995 action adventure thriller james bond 007 bond pierce brosnan espionage pierce brosnan sean bean izabella scorupco famke janssen joe don baker judi dench martin campbell,tt0113189.jpg,3.452830188679245,53,3.5146636137595544
11,"American President, The (1995)",Comedy Drama Romance,112346,9087.0,Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen|Anna Deavere Smith|Shawna Waldron,Rob Reiner,aaron sorkin politics romance michael douglas president,american president the 1995 comedy drama romance aaron sorkin politics romance michael douglas president michael douglas annette bening michael j fox martin sheen anna deavere smith shawna waldron rob reiner,tt0112346.jpg,3.145833333333333,24,3.4835197299552365
12,Dracula: Dead and Loving It (1995),Comedy Horror,112896,12110.0,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony|Harvey Korman,Mel Brooks,leslie nielsen spoof mel brooks bd-r dracula,dracula dead and loving it 1995 comedy horror leslie nielsen spoof mel brooks bd r dracula leslie nielsen mel brooks amy yasbeck peter macnicol lysette anthony harvey korman mel brooks,tt0112896.jpg,3.296195652173913,736,3.3378788234141274
13,Balto (1995),Adventure Animation Children,112453,21032.0,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Juliette Brewer,Simon Wells,dogs talking animals animated sled dogs alaska,balto 1995 adventure animation children dogs talking animals animated sled dogs alaska kevin bacon bob hoskins bridget fonda jim cummings phil collins juliette brewer simon wells,tt0112453.jpg,3.559466019417476,412,3.552998292172817
14,Nixon (1995),Drama,113987,10858.0,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall,Oliver Stone,oliver stone politics based on a true story biographical us president,nixon 1995 drama oliver stone politics based on a true story biographical us president anthony hopkins joan allen powers boothe ed harris bob hoskins e g marshall oliver stone,tt0113987.jpg,4.596774193548387,31,3.7126345788278887
15,Cutthroat Island (1995),Action Adventure Romance,112760,1408.0,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw,Renny Harlin,treasure pirates pirate geena davis action,cutthroat island 1995 action adventure romance treasure pirates pirate geena davis action geena davis matthew modine frank langella maury chaykin patrick malahide stan shaw renny harlin,tt0112760.jpg,4.221428571428572,70,3.749111251831055
16,Casino (1995),Crime Drama,112641,524.0,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King,Martin Scorsese,martin scorsese mafia robert de niro organized crime joe pesci,casino 1995 crime drama martin scorsese mafia robert de niro organized crime joe pesci robert de niro sharon stone joe pesci james woods don rickles alan king martin scorsese,tt0112641.jpg,4.479166666666667,24,3.6622906796759054
17,Sense and Sensibility (1995),Drama Romance,114388,4584.0,Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson|Alan Rickman|Imogen Stubbs,Ang Lee,jane austen british alan rickman romantic hugh grant,sense and sensibility 1995 drama romance jane austen british alan rickman romantic hugh grant kate winslet emma thompson hugh grant tom wilkinson alan rickman imogen stubbs ang lee,tt0114388.jpg,3.655172413793104,29,3.554619737293409
18,Four Rooms (1995),Comedy,113101,5.0,Tim Roth|Antonio Banderas|Jennifer Beals|Madonna|Marisa Tomei|Bruce Willis,Allison Anders|Alexandre Rockwell,quentin tarantino multiple storylines tim roth dark comedy tarantino,four rooms 1995 comedy quentin tarantino multiple storylines tim roth dark comedy tarantino tim roth antonio banderas jennifer beals madonna marisa tomei bruce willis allison anders alexandre rockwell,tt0113101.jpg,3.371657754010695,187,3.4460527241578576
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo,Steve Oedekerk,jim carrey detective comedy silly fun over the top,ace ventura when nature calls 1995 comedy jim carrey detective comedy silly fun over the top jim carrey ian mcneice simon callow maynard eziashi bob gunton sophie okonedo steve oedekerk,tt0112281.jpg,3.423580786026201,458,3.4519576372952483
20,Money Train (1995),Action Comedy Crime Drama Thriller,113845,11517.0,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi,Joseph Ruben,clv joseph ruben lame new york city new york subway,money train 1995 action comedy crime drama thriller clv joseph ruben lame new york city new york subway wesley snipes woody harrelson jennifer lopez robert blake chris cooper joe grifasi joseph ruben,tt0113845.jpg,4.089743589743589,78,3.72124477108149
21,Get Shorty (1995),Comedy Crime Thriller,113161,8012.0,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo,Barry Sonnenfeld,hollywood mafia gene hackman john travolta crime,get shorty 1995 comedy crime thriller hollywood mafia gene hackman john travolta crime john travolta gene hackman rene russo danny devito dennis farina delroy lindo barry sonnenfeld,tt0113161.jpg,4.233009708737864,103,3.814147409542586
